from,to,status,reason
/newcastle-upon-tyne/pro-health-physiotherapy,/search?location=Newcastle%20Upon%20Tyne,301,not imported — town only
/northern-ireland/londonderry/general-practioners/monica-lascar,/specialists/monica-lascar,301,live listing
/northern-ireland/londonderry/general-practioners/satyen-singhai,/specialists/satyen-singhai,301,live listing
/norwich/bettr-health-physio,/search?location=Norwich,301,not imported — town only
/norwich/burton-clinic,/search?location=Norwich,301,not imported — town only
/norwich/ellie-yuen-physiotherapy-service-musculoskeletal-and-pelvic-health-specialist,/search?location=Norwich,301,not imported — town only
/norwich/physiowork,/search?location=Norwich,301,not imported — town only
/norwich/pure-physiotherapy,/search?location=Norwich,301,not imported — town only
/norwich/pure-physiotherapy-norwich-city-road-sports,/search?location=Norwich,301,not imported — town only
/norwich/ready-for-life-physio-rehab,/search?location=Norwich,301,not imported — town only
/norwich/s-c-therapy-norwich,/search?location=Norwich,301,not imported — town only
/nottingham/amr-physiotherapy-nottingham,/search?location=Nottingham,301,not imported — town only
/nottingham/my-physio-gym,/search?location=Nottingham,301,not imported — town only
/nottingham/nottingham-physiotherapy-services,/search?location=Nottingham,301,not imported — town only
/nottingham/physiodirect-mapperley-park,/search?location=Nottingham,301,not imported — town only
/nottingham/plains-physiotherapy-physiotherapists-nottingham,/search?location=Nottingham,301,not imported — town only
/nottingham/pure-physiotherapy-nottingham-musters-road,/search?location=Nottingham,301,not imported — town only
/nottingham/restore-empower-perform-physiotherapy,/search?location=Nottingham,301,not imported — town only
/nottingham/the-nottingham-sports-injury-clinic-physioneeds,/search?location=Nottingham,301,not imported — town only
/nottingham/the-park-moballise-physiotherapy-clinic,/search?location=Nottingham,301,not imported — town only
/orthopaedic-surgeon-pharmacist/mr-rajiv-a-bajekal,/specialists/mr-rajiv-a-bajekal,301,live listing
/orthopaedic-surgeon-plastic-surgeon/mr-alex-woollard,/specialists/mr-alex-woollard,301,live listing
/orthopaedic-surgeon-podiatrist/mr-ben-yates,/specialists/mr-ben-yates,301,live listing
/orthopaedic-surgeon-radiologist/dr-thillainayagam-muthukumar,/specialists/dr-thillainayagam-muthukumar,301,live listing
/orthopaedic-surgeon-rheumatologist/dr-joseph-m-cowan,/specialists/dr-joseph-m-cowan,301,live listing
/orthopaedic-surgeon/associate-professor-bo-povlsen,/specialists/associate-professor-bo-povlsen,301,live listing
/orthopaedic-surgeon/associate-professor-harvinder-pal-singh,/specialists/associate-professor-harvinder-pal-singh,301,live listing
/orthopaedic-surgeon/dr-darren-roberts,/specialists/dr-darren-roberts,301,live listing
